fl_date,op_unique_carrier,op_carrier_fl_num,origin,dest,predicted_delay
1577836800000000000,WN,4738,PHX,ABQ,2.8969802022414073
1577836800000000000,WN,4738,PHX,ABQ,2.8969802022414073
1577836800000000000,WN,4738,PHX,ABQ,2.8969802022414073
1577836800000000000,WN,4738,PHX,ABQ,2.8969802022414073
1577836800000000000,WN,4738,PHX,ABQ,2.8969802022414073
1577923200000000000,WN,4452,PHX,ABQ,3.9991499696174984
1577923200000000000,WN,4452,PHX,ABQ,3.9991499696174984
1577923200000000000,WN,4452,PHX,ABQ,3.9991499696174984
1577923200000000000,WN,4452,PHX,ABQ,3.9991499696174984
1577923200000000000,WN,4452,PHX,ABQ,3.9991499696174984
1578009600000000000,WN,4452,PHX,ABQ,3.9991499696174984
1578009600000000000,WN,4452,PHX,ABQ,3.9991499696174984
1578009600000000000,WN,4452,PHX,ABQ,3.9991499696174984
1578009600000000000,WN,4452,PHX,ABQ,3.9991499696174984
1578009600000000000,WN,4452,PHX,ABQ,3.9991499696174984
1578182400000000000,WN,3877,PHX,ABQ,0.4789222292996347
1578182400000000000,WN,3877,PHX,ABQ,0.4789222292996347
1578182400000000000,WN,3877,PHX,ABQ,0.4789222292996347
1578182400000000000,WN,3877,PHX,ABQ,0.4789222292996347
1578182400000000000,WN,3877,PHX,ABQ,0.4789222292996347
1577836800000000000,WN,6658,PHX,ABQ,31.905096730694787
1577836800000000000,WN,6658,PHX,ABQ,31.905096730694787
1577836800000000000,WN,6658,PHX,ABQ,31.905096730694787
1577836800000000000,AA,2113,PHX,ABQ,38.19237221091727
1577836800000000000,AA,2113,PHX,ABQ,38.19237221091727
1577836800000000000,AA,2113,PHX,ABQ,38.19237221091727
1577923200000000000,AA,2113,PHX,ABQ,32.57695965054031
1577923200000000000,AA,2113,PHX,ABQ,32.57695965054031
1577923200000000000,AA,2113,PHX,ABQ,32.57695965054031
1577923200000000000,WN,1310,PHX,ABQ,32.59340893097357
1577923200000000000,WN,1310,PHX,ABQ,32.59340893097357
1577923200000000000,WN,1310,PHX,ABQ,32.59340893097357
1578009600000000000,WN,1310,PHX,ABQ,32.59340893097357
1578009600000000000,WN,1310,PHX,ABQ,32.59340893097357
1578009600000000000,WN,1310,PHX,ABQ,32.59340893097357
1578009600000000000,AA,2113,PHX,ABQ,32.57695965054031
1578009600000000000,AA,2113,PHX,ABQ,32.57695965054031
1578009600000000000,AA,2113,PHX,ABQ,32.57695965054031
1578096000000000000,AA,2113,PHX,ABQ,20.75560504160381
1578096000000000000,AA,2113,PHX,ABQ,20.75560504160381
1578096000000000000,AA,2113,PHX,ABQ,20.75560504160381
1578182400000000000,AA,2113,PHX,ABQ,20.940438436340802
1578182400000000000,AA,2113,PHX,ABQ,20.940438436340802
1578182400000000000,AA,2113,PHX,ABQ,20.940438436340802
1577836800000000000,WN,3947,PHX,ATL,-14.236110419883337
1577836800000000000,WN,3947,PHX,ATL,-14.236110419883337
1577836800000000000,WN,3947,PHX,ATL,-14.236110419883337
1577923200000000000,DL,2738,PHX,ATL,-15.758081187185955
1577923200000000000,DL,2738,PHX,ATL,-15.758081187185955
1577923200000000000,DL,2738,PHX,ATL,-15.758081187185955
1578009600000000000,DL,2738,PHX,ATL,-16.60016523859958
1578009600000000000,DL,2738,PHX,ATL,-16.60016523859958
1578009600000000000,DL,2738,PHX,ATL,-16.60016523859958
1578096000000000000,DL,2738,PHX,ATL,-9.429913843702456
1578096000000000000,DL,2738,PHX,ATL,-9.429913843702456
1578096000000000000,DL,2738,PHX,ATL,-9.429913843702456
1578182400000000000,DL,2738,PHX,ATL,-3.520722079577184
1578182400000000000,DL,2738,PHX,ATL,-3.520722079577184
1578182400000000000,DL,2738,PHX,ATL,-3.520722079577184
1577836800000000000,WN,5676,PHX,ATL,-2.314190482041452
1577836800000000000,DL,1772,PHX,ATL,-10.85099565188354
1577923200000000000,DL,1772,PHX,ATL,-3.756365130980776
1578009600000000000,DL,1772,PHX,ATL,-7.465865348093227
1578096000000000000,WN,6680,PHX,ATL,1.5515971830613122
1578182400000000000,DL,1772,PHX,ATL,-3.805678745575974
1577836800000000000,WN,5014,PHX,AUS,49.143981350601074
1577836800000000000,WN,4833,PHX,BNA,30.252404549093434
1577836800000000000,WN,4833,PHX,BNA,30.252404549093434
1577923200000000000,WN,2495,PHX,BNA,30.852006166826676
1577923200000000000,WN,2495,PHX,BNA,30.852006166826676
1578009600000000000,WN,2495,PHX,BNA,23.754743892509804
1578009600000000000,WN,2495,PHX,BNA,23.754743892509804
1577836800000000000,WN,3422,PHX,BUR,4.821472163557516
1577836800000000000,WN,3422,PHX,BUR,4.821472163557516
1577923200000000000,WN,44,PHX,BUR,-19.37282082238885
1577923200000000000,WN,44,PHX,BUR,-19.37282082238885
1578009600000000000,WN,44,PHX,BUR,-14.942182211001441
1578009600000000000,WN,44,PHX,BUR,-14.942182211001441
1578182400000000000,WN,5501,PHX,BUR,-3.5578930486888023
1578182400000000000,WN,5501,PHX,BUR,-3.5578930486888023
1577836800000000000,WN,5029,PHX,CMH,-4.873324619755907
1577923200000000000,WN,639,PHX,CMH,-4.876287594416232
1578009600000000000,WN,639,PHX,CMH,-4.876287594416232
1578096000000000000,WN,3375,PHX,CMH,-10.095566543795815
1578182400000000000,WN,4387,PHX,CMH,-6.041450552186072
1577836800000000000,WN,3066,PHX,DAL,-14.889880026305653
1578182400000000000,WN,6561,PHX,DAL,5.053380895661375
1577836800000000000,WN,4928,PHX,DAL,-8.848747421478109
1577836800000000000,WN,4928,PHX,DAL,-8.848747421478109
1578096000000000000,WN,4010,PHX,DAL,-9.487309280620215
1578096000000000000,WN,4010,PHX,DAL,-9.487309280620215
1577836800000000000,WN,2742,PHX,DEN,2.907636706485939
1577836800000000000,WN,2742,PHX,DEN,2.907636706485939
1577923200000000000,WN,1551,PHX,DEN,0.32137866214358024
1577923200000000000,WN,1551,PHX,DEN,0.32137866214358024
1578009600000000000,WN,1551,PHX,DEN,0.32137866214358024
1578009600000000000,WN,1551,PHX,DEN,0.32137866214358024
1578096000000000000,WN,1816,PHX,DEN,6.593563902935008
1578096000000000000,WN,1816,PHX,DEN,6.593563902935008
1577836800000000000,WN,4030,PHX,DEN,-10.472119167534105
1577836800000000000,WN,4030,PHX,DEN,-10.472119167534105
1578096000000000000,WN,4522,PHX,DEN,-6.3145522250075965
1578096000000000000,WN,4522,PHX,DEN,-6.3145522250075965
1578182400000000000,WN,3758,PHX,DEN,-16.57667451028446
1578182400000000000,WN,3758,PHX,DEN,-16.57667451028446
1577836800000000000,WN,5006,PHX,DEN,-8.7540529840916
1577836800000000000,AA,1743,PHX,DEN,-6.954445199081467
1577836800000000000,F9,752,PHX,DEN,-7.0306756978231
1577923200000000000,WN,278,PHX,DEN,6.289942234960371
1577923200000000000,AA,1743,PHX,DEN,-6.266132998802683
1578009600000000000,WN,278,PHX,DEN,6.289942234960371
1578009600000000000,AA,1743,PHX,DEN,-6.266132998802683
1578009600000000000,F9,752,PHX,DEN,-5.1851810246214125
1578096000000000000,AA,1743,PHX,DEN,9.162258235736873
1578096000000000000,F9,752,PHX,DEN,6.831394427915654
1578182400000000000,AA,1743,PHX,DEN,4.560864805419031
1578182400000000000,WN,651,PHX,DEN,-9.014776637958699
1577836800000000000,WN,5238,PHX,DEN,3.2028672652518995
1577836800000000000,AA,482,PHX,DEN,-14.088841002302493
1577923200000000000,AA,482,PHX,DEN,-5.284113273649773
1577923200000000000,WN,787,PHX,DEN,-7.295369588017798
1578009600000000000,WN,787,PHX,DEN,-7.295369588017798
1578009600000000000,AA,482,PHX,DEN,-5.284113273649773
1578096000000000000,AA,482,PHX,DEN,-3.5864258721750857
1578182400000000000,AA,482,PHX,DEN,-5.833943095308761
1577836800000000000,WN,5850,PHX,DEN,-13.217071652839614
1577836800000000000,WN,5850,PHX,DEN,-13.217071652839614
1577836800000000000,WN,5850,PHX,DEN,-13.217071652839614
1578096000000000000,UA,373,PHX,DEN,5.773123790283391
1578096000000000000,UA,373,PHX,DEN,5.773123790283391
1578096000000000000,UA,373,PHX,DEN,5.773123790283391
1578182400000000000,WN,3385,PHX,DEN,-5.342118091712861
1578182400000000000,WN,3385,PHX,DEN,-5.342118091712861
1578182400000000000,WN,3385,PHX,DEN,-5.342118091712861
1577836800000000000,WN,6085,PHX,DEN,-3.8698677660400755
1577836800000000000,WN,6085,PHX,DEN,-3.8698677660400755
1577836800000000000,WN,6085,PHX,DEN,-3.8698677660400755
1577923200000000000,AA,527,PHX,DEN,24.240069248539665
1577923200000000000,AA,527,PHX,DEN,24.240069248539665
1577923200000000000,AA,527,PHX,DEN,24.240069248539665
1578009600000000000,AA,527,PHX,DEN,24.240069248539665
1578009600000000000,AA,527,PHX,DEN,24.240069248539665
1578009600000000000,AA,527,PHX,DEN,24.240069248539665
1578096000000000000,AA,527,PHX,DEN,49.081857700804136
